"Car","Slug","SourceFile","SourcePage","License","LicenseUrl","Artist"
"아르카나","arkana","File:Renault Arkana IMG 4907.jpg","https://commons.wikimedia.org/wiki/File:Renault_Arkana_IMG_4907.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"아우디 A6","audi-a6","File:Jordanian Police automobile (Audi).JPG","https://commons.wikimedia.org/wiki/File:Jordanian_Police_automobile_(Audi).JPG","CC BY 3.0 de","https://creativecommons.org/licenses/by/3.0/de/deed.en"," High Contrast "
"벤츠 E클래스","benz-e-class","File:DTM Mercedes w204 Schneider amk.jpg","https://commons.wikimedia.org/wiki/File:DTM_Mercedes_w204_Schneider_amk.jpg","CC BY-SA 2.5","https://creativecommons.org/licenses/by-sa/2.5"," user:AngMoKio "
"벤츠 GLC","benz-glc","File:Mercedes GLC F-Cell IMG 0063.jpg","https://commons.wikimedia.org/wiki/File:Mercedes_GLC_F-Cell_IMG_0063.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"BMW 5시리즈","bmw-5-series","File:Dülmen, Kirchspiel, Börnste, BMW Mini -- 2019 -- 7207-13.jpg","https://commons.wikimedia.org/wiki/File:D%C3%BClmen,_Kirchspiel,_B%C3%B6rnste,_BMW_Mini_--_2019_--_7207-13.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0","   Dietmar Rabich   "
"BMW X3","bmw-x3","File:BMW X3 (G08) China.jpg","https://commons.wikimedia.org/wiki/File:BMW_X3_(G08)_China.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Dinkun Chen "
"카니발","carnival","File:Kia Carnival KV-II facelift Sanming 02 2022-07-21.jpg","https://commons.wikimedia.org/wiki/File:Kia_Carnival_KV-II_facelift_Sanming_02_2022-07-21.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," JamesYoung8167 "
"캐스퍼","casper","File:Hyundai Casper Active with Gen.G AX1 (2).jpg","https://commons.wikimedia.org/wiki/File:Hyundai_Casper_Active_with_Gen.G_AX1_(2).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Damian B Oh "
"EV6","ev6","File:Kia EV6 GT IMG 8171.jpg","https://commons.wikimedia.org/wiki/File:Kia_EV6_GT_IMG_8171.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander-93 "
"EV9","ev9","File:Kia EV9 1X7A2472.jpg","https://commons.wikimedia.org/wiki/File:Kia_EV9_1X7A2472.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander-93 "
"필랑트","filante","File:Renault Filante Hybrid E-Tech esprit Alpine 1955 AR2 Satin Universe White (3).jpg","https://commons.wikimedia.org/wiki/File:Renault_Filante_Hybrid_E-Tech_esprit_Alpine_1955_AR2_Satin_Universe_White_(3).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Damian B Oh "
"G70","g70","File:Genesis G70 Shooting Brake 1X7A5787.jpg","https://commons.wikimedia.org/wiki/File:Genesis_G70_Shooting_Brake_1X7A5787.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"G80","g80","File:Genesis G80 (DH) IAA 2021 1X7A0163.jpg","https://commons.wikimedia.org/wiki/File:Genesis_G80_(DH)_IAA_2021_1X7A0163.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"G90","g90","Genesis G90 (RS4) DSC 0590.jpg","https://commons.wikimedia.org/wiki/File:Genesis_G90_(RS4)_DSC_0590.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander-93 "
"그랜저","grandeur","00 Hyundai Grandeur (GN7).jpg","https://commons.wikimedia.org/wiki/File:00_Hyundai_Grandeur_(GN7).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Benespit "
"그랑 콜레오스","grand-koleos","Renault Grand Koleos 001.jpg","https://commons.wikimedia.org/wiki/File:Renault_Grand_Koleos_001.jpg","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en"," JustAnotherCarDesigner "
"GV60","gv60","File:Genesis GV60 Auto Zuerich 2023 1X7A1130.jpg","https://commons.wikimedia.org/wiki/File:Genesis_GV60_Auto_Zuerich_2023_1X7A1130.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander-93 "
"GV70","gv70","File:Genesis GV70 IAA 2021 1X7A0228.jpg","https://commons.wikimedia.org/wiki/File:Genesis_GV70_IAA_2021_1X7A0228.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"GV80","gv80","File:Genesis GV80 IAA 2021 1X7A0230.jpg","https://commons.wikimedia.org/wiki/File:Genesis_GV80_IAA_2021_1X7A0230.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"아이오닉5","ioniq5","File:Hyundai Ioniq 5 IAA 2021 1X7A0189.jpg","https://commons.wikimedia.org/wiki/File:Hyundai_Ioniq_5_IAA_2021_1X7A0189.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"아이오닉6","ioniq6","File:Hyundai Ioniq 6 1X7A7258.jpg","https://commons.wikimedia.org/wiki/File:Hyundai_Ioniq_6_1X7A7258.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander-93 "
"아이오닉9","ioniq9","2026 Hyundai Ioniq 9.jpg","https://commons.wikimedia.org/wiki/File:2026_Hyundai_Ioniq_9.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," 2000chevymontecarlo "
"K5","k5","KIA K5 (DL3) China (13).jpg","https://commons.wikimedia.org/wiki/File:KIA_K5_(DL3)_China_(13).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Dinkun Chen "
"K8","k8","Kia K8 GL3 Matte Grey (4).jpg","https://commons.wikimedia.org/wiki/File:Kia_K8_GL3_Matte_Grey_(4).jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Damian B Oh "
"코나","kona","Hyundai Kona.jpg","https://commons.wikimedia.org/wiki/File:Hyundai_Kona.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," MarcinJLewandowski "
"코란도","korando","Ssangyong Korando (4th generation) IMG 3089.jpg","https://commons.wikimedia.org/wiki/File:Ssangyong_Korando_(4th_generation)_IMG_3089.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Alexander Migl "
"렉서스 ES","lexus-es","Lexus-ES-2026.jpg","https://commons.wikimedia.org/wiki/File:Lexus-ES-2026.jpg","CC0","http://creativecommons.org/publicdomain/zero/1.0/deed.en"," Ohcock "
"모닝","morning","2023 Kia Picanto.jpg","https://commons.wikimedia.org/wiki/File:2023_Kia_Picanto.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Vogue2Voke "
"무쏘 칸","musso-khan","File:SsangYong_Rexton_Sports_Khan_Q250_Amazonia_Green_(1).jpg","https://commons.wikimedia.org/wiki/File:SsangYong_Rexton_Sports_Khan_Q250_Amazonia_Green_(1).jpg","Wikimedia Commons - 개별 파일 페이지 참조","https://commons.wikimedia.org/wiki/File:SsangYong_Rexton_Sports_Khan_Q250_Amazonia_Green_(1).jpg","개별 파일 페이지 참조"
"무쏘 스포츠","musso-sports","0 SsangYong Musso Sports 1.jpg","https://commons.wikimedia.org/wiki/File:0_SsangYong_Musso_Sports_1.jpg","CC BY-SA 4.0","https://creativecommons.org/licenses/by-sa/4.0"," Benespit "
"니로","niro","Kia Niro.jpg","https://commons.wikimedia.org/wiki/File:Kia_Niro.jpg","CC BY-SA 3.0","https://creativecommons.org/licenses/by-sa/3.0"," LSDSL "
